id,instrument,code,name,position,row,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percussion,harp,piano,column
1049,Contrebasse,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,J10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,J
1050,Contrebasse,Rav1,La Valse (RAVEL) - Configuration 1,K6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,K
1051,Contrebasse,Rav2,La Valse (RAVEL) - Configuration 2,Q16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,0,Q
1052,Contrebasse,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,H8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,H
1053,Contrebasse,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,I15,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I
1054,Contrebasse,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,G15,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,G
1055,Contrebasse,Moz1,Symphonie n°41 (MOZART) - Configuration 1,P17,17,2,2,2,2,2,3,3,0,3,3,3,0,0,3,0,0,P
1056,Contrebasse,Moz2,Symphonie n°41 (MOZART) - Configuration 2,P17,17,3,3,4,3,4,3,3,0,3,3,3,0,0,4,0,0,P
1057,Contrebasse,Moz3,Symphonie n°41 (MOZART) - Configuration 3,M9,9,2,2,2,2,3,3,3,0,3,3,3,0,0,3,0,0,M
1058,Contrebasse,Moz4,Symphonie n°41 (MOZART) - Configuration 4,M12,12,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,M
1059,Contrebasse,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,P17,17,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,P
1060,Contrebasse,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,G13,13,3,3,1,3,2,3,3,3,3,2,3,0,0,3,0,0,G
1061,Contrebasse,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,M8,8,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,M
1062,Contrebasse,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,G13,13,3,3,3,3,2,3,3,3,3,3,3,0,0,3,0,0,G
1063,Contrebasse,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,I14,14,3,3,2,2,2,3,3,3,3,3,3,0,0,3,0,0,I
1064,Contrebasse,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,Q17,17,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,Q
1065,Contrebasse,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,M9,9,1,1,1,1,1,3,3,3,3,3,3,0,0,3,0,0,M
1066,Contrebasse,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,M11,11,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,M
1067,Contrebasse,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,P15,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,P
1068,Contrebasse,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,I13,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,I
1069,Contrebasse,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,L6,6,2,2,2,2,2,4,4,4,4,4,4,4,4,5,0,0,L
1070,Contrebasse,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,L10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,L
1071,Contrebasse,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,I4,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,0,0,I
1072,Contrebasse,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,I2,2,1,1,1,1,1,3,3,3,3,4,5,5,5,3,0,0,I
1073,Contrebasse,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,I7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,I
1074,Contrebasse,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,I13,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,I
1075,Contrebasse,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,L6,6,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,L
1076,Contrebasse,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,H13,13,3,3,3,3,3,3,3,3,3,2,2,2,1,3,5,0,H
1077,Contrebasse,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,L7,7,2,2,2,2,3,3,3,5,5,4,4,4,4,3,3,0,L
1078,Contrebasse,Rav1,La Valse (RAVEL) - Configuration 1,L5,5,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,0,L
