id,instrument,code,name,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percusssion,harp,piano,column,row
581,Cor,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,4,4,4,4,5,5,5,5,5,5,5,0,0,5,0,0,G,2
582,Cor,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0,B,1
583,Cor,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,3,2,2,2,3,3,3,3,3,3,1,3,3,1,0,0,C,1
584,Cor,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,3,3,3,3,5,3,3,3,3,2,2,3,3,1,0,0,C,1
585,Cor,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,C,1
586,Cor,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,3,3,3,3,3,4,4,4,4,3,2,3,3,2,0,0,C,1
599,Cor,Moz1,Symphonie n°41 (MOZART) - Configuration 1,3,3,3,3,4,3,2,0,3,3,4,0,0,4,0,0,G,2
600,Cor,Moz2,Symphonie n°41 (MOZART) - Configuration 2,3,3,2,3,3,3,2,0,3,3,3,0,0,3,0,0,G,2
601,Cor,Moz3,Symphonie n°41 (MOZART) - Configuration 3,3,3,2,2,2,3,2,0,3,3,3,0,0,2,0,0,G,2
602,Cor,Moz4,Symphonie n°41 (MOZART) - Configuration 4,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,G,2
611,Cor,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,3,3,3,2,3,3,2,2,3,3,3,3,3,3,0,0,G,2
612,Cor,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,0,0,G,2
613,Cor,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,G,2
